 # n, n * 100. _wp , suma2 , (suma2 - n * 100._wp)
       1  1.0000000000000E+02  1.0000000000000E+02 -1.2202692127638E-30
       2  2.0000000000000E+02  2.0000000000000E+02 -2.4405384255275E-30
       3  3.0000000000000E+02  3.0000000000000E+02 -3.6484816866472E-30
       4  4.0000000000000E+02  4.0000000000000E+02 -4.8810768510550E-30
       5  5.0000000000000E+02  5.0000000000000E+02 -6.1136720154628E-30
       6  6.0000000000000E+02  6.0000000000000E+02 -7.2969633732944E-30
       7  7.0000000000000E+02  7.0000000000000E+02 -8.4802547311259E-30
       8  8.0000000000000E+02  8.0000000000000E+02 -9.6635460889574E-30
       9  9.0000000000000E+02  9.0000000000000E+02 -1.0846837446789E-29
      10  1.0000000000000E+03  1.0000000000000E+03 -1.2030128804620E-29
      11  1.1000000000000E+03  1.1000000000000E+03 -1.3213420162452E-29
      12  1.2000000000000E+03  1.2000000000000E+03 -1.4396711520283E-29
      13  1.3000000000000E+03  1.3000000000000E+03 -1.5580002878115E-29
      14  1.4000000000000E+03  1.4000000000000E+03 -1.6763294235947E-29
      15  1.5000000000000E+03  1.5000000000000E+03 -1.7946585593778E-29
      16  1.6000000000000E+03  1.6000000000000E+03 -1.9129876951610E-29
      17  1.7000000000000E+03  1.7000000000000E+03 -2.0313168309441E-29
      18  1.8000000000000E+03  1.8000000000000E+03 -2.1496459667273E-29
      19  1.9000000000000E+03  1.9000000000000E+03 -2.2679751025104E-29
      20  2.0000000000000E+03  2.0000000000000E+03 -2.3863042382936E-29
      21  2.1000000000000E+03  2.1000000000000E+03 -2.5243548967072E-29
      22  2.2000000000000E+03  2.2000000000000E+03 -2.6426840324904E-29
      23  2.3000000000000E+03  2.3000000000000E+03 -2.7610131682735E-29
      24  2.4000000000000E+03  2.4000000000000E+03 -2.8793423040567E-29
      25  2.5000000000000E+03  2.5000000000000E+03 -2.9976714398398E-29
      26  2.6000000000000E+03  2.6000000000000E+03 -3.1160005756230E-29
      27  2.7000000000000E+03  2.7000000000000E+03 -3.2343297114061E-29
      28  2.8000000000000E+03  2.8000000000000E+03 -3.3526588471893E-29
      29  2.9000000000000E+03  2.9000000000000E+03 -3.4709879829725E-29
      30  3.0000000000000E+03  3.0000000000000E+03 -3.5893171187556E-29
      31  3.1000000000000E+03  3.1000000000000E+03 -3.7076462545388E-29
      32  3.2000000000000E+03  3.2000000000000E+03 -3.8259753903219E-29
      33  3.3000000000000E+03  3.3000000000000E+03 -3.9443045261051E-29
      34  3.4000000000000E+03  3.4000000000000E+03 -4.0626336618882E-29
      35  3.5000000000000E+03  3.5000000000000E+03 -4.1809627976714E-29
      36  3.6000000000000E+03  3.6000000000000E+03 -4.2992919334545E-29
      37  3.7000000000000E+03  3.7000000000000E+03 -4.4176210692377E-29
      38  3.8000000000000E+03  3.8000000000000E+03 -4.5359502050208E-29
      39  3.9000000000000E+03  3.9000000000000E+03 -4.6542793408040E-29
      40  4.0000000000000E+03  4.0000000000000E+03 -4.7726084765871E-29
      41  4.1000000000000E+03  4.1000000000000E+03 -4.8909376123703E-29
      42  4.2000000000000E+03  4.2000000000000E+03 -5.0487097934145E-29
      43  4.3000000000000E+03  4.3000000000000E+03 -5.2064819744587E-29
      44  4.4000000000000E+03  4.4000000000000E+03 -5.3642541555029E-29
      45  4.5000000000000E+03  4.5000000000000E+03 -5.5220263365471E-29
      46  4.6000000000000E+03  4.6000000000000E+03 -5.6797985175913E-29
      47  4.7000000000000E+03  4.7000000000000E+03 -5.8375706986355E-29
      48  4.8000000000000E+03  4.8000000000000E+03 -5.9953428796797E-29
      49  4.9000000000000E+03  4.9000000000000E+03 -6.1531150607239E-29
      50  5.0000000000000E+03  5.0000000000000E+03 -6.3108872417681E-29
      51  5.1000000000000E+03  5.1000000000000E+03 -6.4686594228123E-29
      52  5.2000000000000E+03  5.2000000000000E+03 -6.6264316038565E-29
      53  5.3000000000000E+03  5.3000000000000E+03 -6.7842037849007E-29
      54  5.4000000000000E+03  5.4000000000000E+03 -6.9419759659449E-29
      55  5.5000000000000E+03  5.5000000000000E+03 -7.0997481469891E-29
      56  5.6000000000000E+03  5.6000000000000E+03 -7.2575203280333E-29
      57  5.7000000000000E+03  5.7000000000000E+03 -7.4152925090775E-29
      58  5.8000000000000E+03  5.8000000000000E+03 -7.5730646901217E-29
      59  5.9000000000000E+03  5.9000000000000E+03 -7.7308368711659E-29
      60  6.0000000000000E+03  6.0000000000000E+03 -7.8886090522101E-29
      61  6.1000000000000E+03  6.1000000000000E+03 -8.0463812332543E-29
      62  6.2000000000000E+03  6.2000000000000E+03 -8.2041534142985E-29
      63  6.3000000000000E+03  6.3000000000000E+03 -8.3619255953427E-29
      64  6.4000000000000E+03  6.4000000000000E+03 -8.5196977763869E-29
      65  6.5000000000000E+03  6.5000000000000E+03 -8.6774699574311E-29
      66  6.6000000000000E+03  6.6000000000000E+03 -8.8352421384753E-29
      67  6.7000000000000E+03  6.7000000000000E+03 -8.9930143195195E-29
      68  6.8000000000000E+03  6.8000000000000E+03 -9.1507865005637E-29
      69  6.9000000000000E+03  6.9000000000000E+03 -9.3085586816079E-29
      70  7.0000000000000E+03  7.0000000000000E+03 -9.4663308626521E-29
      71  7.1000000000000E+03  7.1000000000000E+03 -9.6241030436963E-29
      72  7.2000000000000E+03  7.2000000000000E+03 -9.7818752247405E-29
      73  7.3000000000000E+03  7.3000000000000E+03 -9.9396474057847E-29
      74  7.4000000000000E+03  7.4000000000000E+03 -1.0097419586829E-28
