 # n, n * 0.1_wp , suma1 , ( suma1 - n * 0.1_wp)
    1000  1.0000000000000E+02  1.0000000000000E+02 -1.2202692127638E-30
    2000  2.0000000000000E+02  2.0000000000000E+02 -6.1383239187510E-30
    3000  3.0000000000000E+02  3.0000000000000E+02 -2.4651903288157E-31
    4000  4.0000000000000E+02  4.0000000000000E+02  1.9475003597644E-29
    5000  5.0000000000000E+02  5.0000000000000E+02  3.9196526228169E-29
    6000  6.0000000000000E+02  6.0000000000000E+02  5.8868745052118E-29
    7000  7.0000000000000E+02  7.0000000000000E+02  7.8590267682643E-29
    8000  8.0000000000000E+02  8.0000000000000E+02  9.8311790313169E-29
    9000  9.0000000000000E+02  9.0000000000000E+02  1.1803331294369E-28
   10000  1.0000000000000E+03  1.0000000000000E+03  1.3775483557422E-28
   11000  1.1000000000000E+03  1.1000000000000E+03  8.2435964595596E-29
   12000  1.2000000000000E+03  1.2000000000000E+03  3.5498740734946E-30
   13000  1.3000000000000E+03  1.3000000000000E+03 -7.5336216448607E-29
   14000  1.4000000000000E+03  1.4000000000000E+03 -1.5422230697071E-28
   15000  1.5000000000000E+03  1.5000000000000E+03 -2.3310839749281E-28
   16000  1.6000000000000E+03  1.6000000000000E+03 -3.1199448801491E-28
   17000  1.7000000000000E+03  1.7000000000000E+03 -3.9088057853701E-28
   18000  1.8000000000000E+03  1.8000000000000E+03 -4.6976666905911E-28
   19000  1.9000000000000E+03  1.9000000000000E+03 -5.4865275958121E-28
   20000  2.0000000000000E+03  2.0000000000000E+03 -6.2753885010331E-28
   21000  2.1000000000000E+03  2.1000000000000E+03 -7.0642494062542E-28
   22000  2.2000000000000E+03  2.2000000000000E+03 -7.8531103114752E-28
   23000  2.3000000000000E+03  2.3000000000000E+03 -8.6419712166962E-28
   24000  2.4000000000000E+03  2.4000000000000E+03 -9.4308321219172E-28
   25000  2.5000000000000E+03  2.5000000000000E+03 -1.0219693027138E-27
   26000  2.6000000000000E+03  2.6000000000000E+03 -1.1008553932359E-27
   27000  2.7000000000000E+03  2.7000000000000E+03 -1.1797414837580E-27
   28000  2.8000000000000E+03  2.8000000000000E+03 -1.2586275742801E-27
   29000  2.9000000000000E+03  2.9000000000000E+03 -1.3375136648022E-27
   30000  3.0000000000000E+03  3.0000000000000E+03 -1.4163997553243E-27
   31000  3.1000000000000E+03  3.1000000000000E+03 -1.4952858458464E-27
   32000  3.2000000000000E+03  3.2000000000000E+03 -1.5741719363685E-27
   33000  3.3000000000000E+03  3.3000000000000E+03 -1.6530580268906E-27
   34000  3.4000000000000E+03  3.4000000000000E+03 -1.7319441174127E-27
   35000  3.5000000000000E+03  3.5000000000000E+03 -1.8108302079348E-27
   36000  3.6000000000000E+03  3.6000000000000E+03 -1.8897162984569E-27
   37000  3.7000000000000E+03  3.7000000000000E+03 -1.9686023889790E-27
   38000  3.8000000000000E+03  3.8000000000000E+03 -2.0474884795011E-27
   39000  3.9000000000000E+03  3.9000000000000E+03 -2.1263745700232E-27
   40000  4.0000000000000E+03  4.0000000000000E+03 -2.2052606605453E-27
   41000  4.1000000000000E+03  4.1000000000000E+03 -2.2687639634156E-27
   42000  4.2000000000000E+03  4.2000000000000E+03 -1.9532196013272E-27
   43000  4.3000000000000E+03  4.3000000000000E+03 -1.6376752392388E-27
   44000  4.4000000000000E+03  4.4000000000000E+03 -1.3221308771504E-27
   45000  4.5000000000000E+03  4.5000000000000E+03 -1.0065865150620E-27
   46000  4.6000000000000E+03  4.6000000000000E+03 -6.9104215297361E-28
   47000  4.7000000000000E+03  4.7000000000000E+03 -3.7549779088520E-28
   48000  4.8000000000000E+03  4.8000000000000E+03 -5.9953428796797E-29
   49000  4.9000000000000E+03  4.9000000000000E+03  2.5559093329161E-28
   50000  5.0000000000000E+03  5.0000000000000E+03  5.7113529538001E-28
   51000  5.1000000000000E+03  5.1000000000000E+03  8.8667965746842E-28
   52000  5.2000000000000E+03  5.2000000000000E+03  1.2022240195568E-27
   53000  5.3000000000000E+03  5.3000000000000E+03  1.5177683816452E-27
   54000  5.4000000000000E+03  5.4000000000000E+03  1.8333127437336E-27
   55000  5.5000000000000E+03  5.5000000000000E+03  2.1488571058220E-27
   56000  5.6000000000000E+03  5.6000000000000E+03  2.4644014679104E-27
   57000  5.7000000000000E+03  5.7000000000000E+03  2.7799458299988E-27
   58000  5.8000000000000E+03  5.8000000000000E+03  3.0954901920873E-27
   59000  5.9000000000000E+03  5.9000000000000E+03  3.4110345541757E-27
   60000  6.0000000000000E+03  6.0000000000000E+03  3.7265789162641E-27
   61000  6.1000000000000E+03  6.1000000000000E+03  4.0421232783525E-27
   62000  6.2000000000000E+03  6.2000000000000E+03  4.3576676404409E-27
   63000  6.3000000000000E+03  6.3000000000000E+03  4.6732120025293E-27
   64000  6.4000000000000E+03  6.4000000000000E+03  4.9887563646177E-27
   65000  6.5000000000000E+03  6.5000000000000E+03  5.3043007267061E-27
   66000  6.6000000000000E+03  6.6000000000000E+03  5.6198450887945E-27
   67000  6.7000000000000E+03  6.7000000000000E+03  5.9353894508829E-27
   68000  6.8000000000000E+03  6.8000000000000E+03  6.2509338129713E-27
   69000  6.9000000000000E+03  6.9000000000000E+03  6.5664781750597E-27
   70000  7.0000000000000E+03  7.0000000000000E+03  6.8820225371481E-27
   71000  7.1000000000000E+03  7.1000000000000E+03  7.1975668992365E-27
   72000  7.2000000000000E+03  7.2000000000000E+03  7.5131112613249E-27
   73000  7.3000000000000E+03  7.3000000000000E+03  7.8286556234133E-27
