   1.177841E+03  2.030678E-08  1.397603E-08
   1.533522E+03  3.313211E-08  1.785200E-08
   1.889203E+03  2.671945E-08  1.603159E-08
   2.244885E+03  3.420089E-08  1.813765E-08
   2.600566E+03  2.030678E-08  1.397603E-08
   2.956247E+03  2.244433E-08  1.469321E-08
   3.311928E+03  2.030678E-08  1.397603E-08
   3.667610E+03  1.603167E-08  1.241804E-08
   4.023291E+03  2.671945E-08  1.603159E-08
   4.378972E+03  3.313211E-08  1.785200E-08
   4.734654E+03  3.206334E-08  1.756171E-08
   5.090335E+03  2.885700E-08  1.666051E-08
   5.446016E+03  2.137556E-08  1.433911E-08
   5.801698E+03  3.206334E-08  1.756171E-08
   6.157379E+03  2.030678E-08  1.397603E-08
   6.513060E+03  2.671945E-08  1.603159E-08
   6.868742E+03  2.030678E-08  1.397603E-08
   7.224423E+03  1.816922E-08  1.322001E-08
   7.580104E+03  2.137556E-08  1.433911E-08
   7.935785E+03  1.816922E-08  1.322001E-08
   8.291467E+03  2.458189E-08  1.537697E-08
   8.647148E+03  2.565067E-08  1.570769E-08
   9.002829E+03  2.992578E-08  1.696623E-08
   9.358511E+03  3.526967E-08  1.841887E-08
   9.714192E+03  3.206334E-08  1.756171E-08
   1.006987E+04  2.137556E-08  1.433911E-08
   1.042555E+04  2.351311E-08  1.503897E-08
   1.078124E+04  3.099456E-08  1.726654E-08
   1.113692E+04  2.458189E-08  1.537697E-08
   1.149260E+04  2.137556E-08  1.433911E-08
   1.184828E+04  3.206334E-08  1.756171E-08
   1.220396E+04  2.992578E-08  1.696623E-08
   1.255964E+04  2.351311E-08  1.503897E-08
   1.291532E+04  3.099456E-08  1.726654E-08
   1.327101E+04  3.420089E-08  1.813765E-08
   1.362669E+04  1.816922E-08  1.322001E-08
   1.398237E+04  2.778822E-08  1.634908E-08
   1.433805E+04  2.351311E-08  1.503897E-08
   1.469373E+04  2.992578E-08  1.696623E-08
   1.504941E+04  3.526967E-08  1.841887E-08
   1.540509E+04  2.778822E-08  1.634908E-08
   1.576077E+04  2.565067E-08  1.570769E-08
   1.611646E+04  2.458189E-08  1.537697E-08
   1.647214E+04  2.137556E-08  1.433911E-08
   1.682782E+04  3.420089E-08  1.813765E-08
   1.718350E+04  2.885700E-08  1.666051E-08
   1.753918E+04  2.351311E-08  1.503897E-08
   1.789486E+04  2.671945E-08  1.603159E-08
   1.825054E+04  3.206334E-08  1.756171E-08
   1.860622E+04  3.313211E-08  1.785200E-08
   1.896191E+04  2.565067E-08  1.570769E-08
   1.931759E+04  2.351311E-08  1.503897E-08
   1.967327E+04  2.778822E-08  1.634908E-08
   2.002895E+04  2.244433E-08  1.469321E-08
   2.038463E+04  3.420089E-08  1.813765E-08
   2.074031E+04  2.671945E-08  1.603159E-08
   2.109599E+04  2.351311E-08  1.503897E-08
   2.145168E+04  2.671945E-08  1.603159E-08
   2.180736E+04  2.992578E-08  1.696623E-08
   2.216304E+04  3.099456E-08  1.726654E-08
   2.251872E+04  2.885700E-08  1.666051E-08
   2.287440E+04  2.458189E-08  1.537697E-08
   2.323008E+04  2.030678E-08  1.397603E-08
   2.358576E+04  3.099456E-08  1.726654E-08
   2.394144E+04  2.244433E-08  1.469321E-08
   2.429713E+04  2.351311E-08  1.503897E-08
   2.465281E+04  1.710045E-08  1.282530E-08
   2.500849E+04  2.992578E-08  1.696623E-08
   2.536417E+04  2.351311E-08  1.503897E-08
   2.571985E+04  3.099456E-08  1.726654E-08
   2.607553E+04  3.099456E-08  1.726654E-08
   2.643121E+04  1.923800E-08  1.360327E-08
   2.678689E+04  2.244433E-08  1.469321E-08
   2.714258E+04  1.603167E-08  1.241804E-08
   2.749826E+04  2.458189E-08  1.537697E-08
   2.785394E+04  2.671945E-08  1.603159E-08
   2.820962E+04  2.351311E-08  1.503897E-08
   2.856530E+04  3.954478E-08  1.950323E-08
   2.892098E+04  3.526967E-08  1.841887E-08
   2.927666E+04  1.816922E-08  1.322001E-08
   2.963235E+04  3.099456E-08  1.726654E-08
   2.998803E+04  2.244433E-08  1.469321E-08
   3.034371E+04  2.885700E-08  1.666051E-08
   3.069939E+04  3.740722E-08  1.896880E-08
   3.105507E+04  2.565067E-08  1.570769E-08
   3.141075E+04  1.816922E-08  1.322001E-08
   3.176643E+04  3.420089E-08  1.813765E-08
   3.212211E+04  3.099456E-08  1.726654E-08
   3.247780E+04  4.275111E-08  2.027848E-08
   3.283348E+04  2.778822E-08  1.634908E-08
   3.318916E+04  3.313211E-08  1.785200E-08
   3.354484E+04  3.099456E-08  1.726654E-08
   3.390052E+04  3.526967E-08  1.841887E-08
   3.425620E+04  3.526967E-08  1.841887E-08
   3.461188E+04  2.778822E-08  1.634908E-08
   3.496756E+04  3.313211E-08  1.785200E-08
   3.532325E+04  2.458189E-08  1.537697E-08
   3.567893E+04  2.992578E-08  1.696623E-08
   3.603461E+04  3.526967E-08  1.841887E-08
   3.639029E+04  2.671945E-08  1.603159E-08
   3.674597E+04  2.992578E-08  1.696623E-08
   3.710165E+04  2.778822E-08  1.634908E-08
   3.745733E+04  2.565067E-08  1.570769E-08
   3.781302E+04  3.313211E-08  1.785200E-08
   3.816870E+04  3.420089E-08  1.813765E-08
   3.852438E+04  2.885700E-08  1.666051E-08
   3.888006E+04  3.099456E-08  1.726654E-08
   3.923574E+04  2.244433E-08  1.469321E-08
   3.959142E+04  3.206334E-08  1.756171E-08
   3.994710E+04  2.244433E-08  1.469321E-08
   4.030278E+04  3.633845E-08  1.869586E-08
   4.065847E+04  3.740722E-08  1.896880E-08
